"Product Name","Installed Base Track","IP Type","Product: Created Date","Product Family","Product Group","Product Family Group","Product Service Group","Sibex Name","AARO Code","Business Area","Business Responsible","Product Group Description","Item Group","Item Group Description","Active (Product)","Product Code","Movex Part Number","Oracle CPQ Cloud Part Number","Status","Movex Full Description","Product: Created By"
"LANGUAGE RO LGP 11.1","Yes","Feature","4/13/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE ROMANIAN","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1538743","1538743","1538743","Released","LANGUAGE RO LGP 11.1","Movex IntegrationUser"
"LANGUAGE HR LGP 11.1","Yes","Feature","4/20/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE CROATIAN","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1538794","1538794","1538794","Released","LANGUAGE HR LGP 11.1","Movex IntegrationUser"
"LANGUAGE VI LGP 11.1","Yes","Feature","5/18/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE VIETNAMESE","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539553","1539553","1539553","Released","LANGUAGE VI LGP 11.1","Movex IntegrationUser"
"CONTROL SYSTEM WO MONITORS","Yes","Part","6/1/2018","Neuro","RS08","LGK","LGK PFX/ICON CONTROL SYSTEM (CS)","CONTROL SYSTEM","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539338","1539338","1539338","Released","CONTROL SYSTEM","Movex IntegrationUser"
"MONITOR KIT DIGITAL","Yes","Part","6/1/2018","Neuro","RS08","LGK","LGK MONITOR","MONITOR DIGITAL","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539605","1539605","1539605","Released","MONITOR KIT DIGITAL","Movex IntegrationUser"
"MONITOR KIT ANALOG","Yes","Part","6/1/2018","Neuro","RS08","LGK","LGK MONITOR","MONITOR ANALOG","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539609","1539609","1539609","Released","MONITOR KIT ANALOG","Movex IntegrationUser"
"LANGUAGE LT LGP 11.1","Yes","Feature","6/15/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE LITHUANIAN","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539285","1539285","1539285","Released","LANGUAGE LT LGP 11.1","Movex IntegrationUser"
"SE/GUI FOR LGK CS 11.3","Yes","Feature","6/29/2018","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE SWEDISH","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539782","1539782","1539782","Released","SE/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"CZ/GUI FOR LGK CS 11.3","Yes","Feature","6/29/2018","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE CZECH","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539772","1539772","1539772","Released","CZ/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"EL/GUI FOR LGK CS 11.3","Yes","Feature","7/6/2018","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE GREEK","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539905","1539905","1539905","Released","EL/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"LANGUAGE SE LGP 11.1","Yes","Feature","7/20/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE SWEDISH","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539756","1539756","1539756","Released","LANGUAGE SE LGP 11.1","Movex IntegrationUser"
"LANGUAGE CZ LGP 11.1","Yes","Feature","7/20/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE CZECH","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539730","1539730","1539730","Released","LANGUAGE CZ LGP 11.1","Movex IntegrationUser"
"VANTAGE RADIOLU. STARBURST 1/2","Yes","Product","7/27/2018","Neuro","SS01","LSS","LSN VANTAGE STARBURST","VANTAGE MAYFIELD STARBURST 1/2","SS01","100","DIV100","Leksell Stereotactic Neurosurgery","102","Leksell Vantage Stereotactic System","1","1072931","1072931","1072931","Released","VANTAGE RADIOLU. STARBURST 1/2","Movex IntegrationUser"
"LEKSELL VANTAGE FRAME HOLDER","Yes","Product","7/27/2018","Neuro","SS01","LSS","LSN VANTAGE FRAME HOLDER","LEKSELL VANTAGE FRAME HOLDER","SS01","100","DIV100","Leksell Stereotactic Neurosurgery","102","Leksell Vantage Stereotactic System","1","1072447","1072447","1072447","Released","LEKSELL VANTAGE FRAME HOLDER","Movex IntegrationUser"
"LANGUAGE PL LGP 11.1","Yes","Feature","9/14/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE POLISH","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539989","1539989","1539989","Released","LANGUAGE PL LGP 11.1","Movex IntegrationUser"
"PT/GUI FOR LGK CS 11.3","Yes","Feature","9/21/2018","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE PORTUGUESE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1540937","1540937","1540937","Released","PT/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"LANGUAGE EL LGP 11.1","Yes","Feature","9/28/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE GREEK","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539752","1539752","1539752","Released","LANGUAGE EL LGP 11.1","Movex IntegrationUser"
"24"" 16:9 MONITOR","Yes","Part","9/28/2018","Neuro","RS08","LGK","LGK MONITOR","MONITOR DIGITAL","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1529817","1529817","1529817","Released","24"" 16:9 MONITOR","Movex IntegrationUser"
"19"" 5:4 PSS MONITOR","Yes","Part","9/28/2018","Neuro","RS08","LGK","LGK MONITOR","MONITOR PSS","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1529818","1529818","1529818","Released","19"" 5:4 PSS MONITOR","Movex IntegrationUser"
"32"" 16:9 MONITOR","Yes","Part","9/28/2018","Neuro","RS08","LGK","LGK MONITOR","MONITOR DIGITAL","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1536573","1536573","1536573","Released","32"" 16:9 MONITOR","Movex IntegrationUser"
"19"" 5:4 MONITOR","Yes","Part","9/28/2018","Neuro","RS08","LGK","LGK MONITOR","MONITOR ANALOG","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1539628","1539628","1539628","Released","19"" 5:4 MONITOR","Movex IntegrationUser"
"LANGUAGE PT LGP 11.1","Yes","Feature","10/12/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE PORTUGUESE","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1540944","1540944","1540944","Released","LANGUAGE PT LGP 11.1","Movex IntegrationUser"
"LGP 11.1.1 SUPPLIER ITEMS","Yes","Software","10/26/2018","Neuro","RS08","LGK","NTPS SOFTWARE","NTPS SOFTWARE","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1539978","1539978","1539978","Released","LGP 11.1 SUPPLIER ITEMS","Movex IntegrationUser"
"SPARE PART Y LIFT","Yes","Part","9/8/2017","Neuro","RS08","LGK","LGK PPS Y-LIFT","Y-LIFT","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1533787","1533787","1533787","Released","SPARE PART Y LIFT","Movex IntegrationUser"
"CS SW 11.1.2 ON CF CARD","Yes","Software","9/15/2017","Neuro","RS08","LGK","LGK CS SOFTWARE","CONTROL SYSTEM SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1534626","1534626","1534626","Released","CS SW 11.1.2 ON CF CARD","Movex IntegrationUser"
"LANGUAGE JP LGP 11.1","Yes","Feature","9/29/2017","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE JAPANESE","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1535274","1535274","1535274","Released","LANGUAGE JP LGP 11.1","Movex IntegrationUser"
"TR/GUI FOR LGK CS 11.3","Yes","Feature","10/20/2017","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE TURKISH","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1535268","1535268","1535268","Released","TR/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"LANGUAGE TR LGP 11.1","Yes","Feature","10/27/2017","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE TURKISH","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1535278","1535278","1535278","Released","LANGUAGE TR LGP 11.1","Movex IntegrationUser"
"CS SW 11.1.3 SUPPLIER ITEMS","Yes","Software","10/27/2017","Neuro","RS08","LGK","LGK CS SOFTWARE","CONTROL SYSTEM SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1535778","1535778","1535778","Released","CS SW 11.1.3 SUPPLIER ITEMS","Movex IntegrationUser"
"CS SW 11.3.1 SUPPLIER ITEMS","Yes","Software","11/17/2017","Neuro","RS08","LGK","LGK CS SOFTWARE","CONTROL SYSTEM SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1535926","1535926","1535926","Released","CS SW 11.3.1 SUPPLIER ITEMS","Movex IntegrationUser"
"ES/GUI FOR LGK CS 11.3","Yes","Feature","12/8/2017","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE SPANISH","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1536893","1536893","1536893","Released","ES/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"RU/GUI FOR LGK CS 11.3","Yes","Feature","1/7/2018","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE RUSSIAN","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1537043","1537043","1537043","Released","RU/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"LANGUAGE ES LGP 11.1","Yes","Feature","1/28/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE SPANISH","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1537361","1537361","1537361","Released","LANGUAGE ES LGP 11.1","Movex IntegrationUser"
"RO/GUI FOR LGK CS 11.3","Yes","Feature","1/28/2018","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE ROMANIAN","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1537362","1537362","1537362","Released","RO/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"LANGUAGE HU LGP 11.1","Yes","Feature","1/28/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE HUNGARIAN","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1537491","1537491","1537491","Released","LANGUAGE HU LGP 11.1","Movex IntegrationUser"
"LANGUAGE RESOURCES LGP 11.0.3","Yes","Feature","3/9/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE (MULTI)","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1538475","1538475","1538475","Released","LANGUAGE RESOURCES LGP 11.0.3","Movex IntegrationUser"
"LANGUAGE RU LGP 11.1","Yes","Feature","3/9/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE RUSSIAN","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1538431","1538431","1538431","Released","LANGUAGE RU LGP 11.1","Movex IntegrationUser"
"LANGUAGE SR LGP 11.1","Yes","Feature","3/23/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE SERBIAN","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1538323","1538323","1538323","Released","LANGUAGE SR LGP 11.1","Movex IntegrationUser"
"IT/GUI FOR LGK CS 11.1","Yes","Feature","8/11/2017","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE ITALIAN","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1533369","1533369","1533369","Released","IT/GUI FOR LGK CS 11.1","Movex IntegrationUser"
"LANGUAGE NO LGP 11.1","Yes","Feature","5/10/2019","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE NORWEIGAN","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1544607","1544607","1544607","Released","LANGUAGE NO LGP 11.1","Movex IntegrationUser"
"LANGUAGE ZH-CN LGP 11.1","Yes","Feature","7/5/2019","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE SIMPLIFIED CHINESE","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1547852","1547852","1547852","Released","LANGUAGE ZH-CN LGP 11.1","Movex IntegrationUser"
"NO/GUI FOR LGK CS 11.3","Yes","Feature","7/5/2019","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE NORWEIGAN","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1547766","1547766","1547766","Released","NO/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"LANGUAGE KK LGP 11.1","Yes","Feature","3/8/2019","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE KAZAKH","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1543502","1543502","1543502","Released","LANGUAGE KK LGP 11.1","Movex IntegrationUser"
"LANGUAGE PL LGP 11.1","Yes","Feature","12/21/2018","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE POLISH","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1542772","1542772","1542772","Released","LANGUAGE PL LGP 11.1","Movex IntegrationUser"
"PL/GUI FOR LGK CS 11.3","Yes","Feature","12/21/2018","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE POLISH","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1542730","1542730","1542730","Released","PL/GUI FOR LGK CS 11.3","Movex IntegrationUser"
"ELEKTA SECURE  KIT S/N>131","Yes","Product","5/1/2015","Neuro","RS08","LGK","LGK TID/FID KIT","TID-FID KIT","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1046462","1046462","1046462","Released","ELEKTA SECURE KIT S/N>131","Movex IntegrationUser"
"CS SW 10.2.1 SUPPLIER ITEMS","Yes","Software","5/1/2015","Neuro","RS08","LGK","LGK CS SOFTWARE","CONTROL SYSTEM SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1514691","1514691","1514691","Released","CS SW 10.2.1 SUPPLIER ITEMS","Movex IntegrationUser"
"CS SW 10.2.1 UPGRADE KIT","Yes","Software","5/1/2015","Neuro","RS08","LGK","LGK CS SOFTWARE","CONTROL SYSTEM SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1514693","1514693","1514693","Released","CS SW 10.2.1 UPGRADE KIT","Movex IntegrationUser"
"CS SW 10.2.1 SPARE PART","Yes","Software","5/1/2015","Neuro","RS08","LGK","LGK CS SOFTWARE","CONTROL SYSTEM SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1514697","1514697","1514697","Released","CS SW 10.2.1 SPARE PART","Movex IntegrationUser"
"CS SW 11.0 SUPPLIER ITEMS","Yes","Software","5/1/2015","Neuro","RS08","LGK","LGK CS SOFTWARE","CONTROL SYSTEM SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1515311","1515311","1515311","Released","CS SW 11.0 SUPPLIER ITEMS","Movex IntegrationUser"
"LGK ICON MANUF SIGN","Yes","Product","5/1/2015","Neuro","RS08","LGK","LEKSELL GAMMA KNIFE ICON","LEKSELL GAMMA KNIFE ICON","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1516275","1516275","1516275","Released","LGK ICON MANUF SIGN","Movex IntegrationUser"
"DFM 2.0","Yes","Software","5/1/2015","Neuro","RS08","LGK","NTPS DFM SOFTWARE","NTPS DFM SOFTWARE","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1517698","1517698","1517698","Released","DFM 2.0","Movex IntegrationUser"
"LGK STD. CONFIG","Yes","Product","5/1/2015","Neuro","RS08","LGK","LEKSELL GAMMA KNIFE PERFEXION","LEKSELL GAMMA KNIFE PERFEXION","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1517990","1517990","1517990","Released","LGK STD. CONFIG","Movex IntegrationUser"
"LGK STD. CONFIG VES","Yes","Product","5/1/2015","Neuro","RS08","LGK","LEKSELL GAMMA KNIFE PERFEXION","LEKSELL GAMMA KNIFE PERFEXION","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1517992","1517992","1517992","Released","LGK STD. CONFIG VES","Movex IntegrationUser"
"USB TO CAN INCL 10.2.1 UPGRADE","Yes","Software","5/1/2015","Neuro","RS08","LGK","LGK CS SOFTWARE","CONTROL SYSTEM SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1518386","1518386","1518386","Released","USB TO CAN INCL 10.2.1 UPGRADE","Movex IntegrationUser"
"STANDARD LGP FOR LGK ICON","Yes","Feature","5/19/2015","Neuro","RS08","LGK","LGP LICENSE FOR LGK ICON","LGP LICENSE FOR LGK ICON","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1518783","1518783","1518783","Released","STANDARD LGP FOR LGK ICON","Movex IntegrationUser"
"ADDITIONAL LGP FOR LGK ICON","Yes","Feature","5/19/2015","Neuro","RS08","LGK","LGP LICENSE FOR LGK ICON","LGP LICENSE FOR LGK ICON","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1518784","1518784","1518784","Released","ADDITIONAL LGP FOR LGK ICON","Movex IntegrationUser"
"LGP - MASK LICENSE","Yes","Feature","5/19/2015","Neuro","RS08","LGK","LGP FEATURE MASK","LGP FEATURE MASK","RS01","100","DIV100","LGK Service","3P","Third Party Hardware & Software","1","1518785","1518785","1518785","Released","LGP - MASK LICENSE","Movex IntegrationUser"
"FR/ICON GUI FOR CS 11.0","Yes","Feature","7/3/2015","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE FRENCH","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1518111","1518111","1518111","Released","FR/ICON GUI FOR CS 11.0","Movex IntegrationUser"
"HP Z640 WS KIT","Yes","Part","7/3/2015","Neuro","RS08","LGK","NTPS HARDWARE","NTPS HARDWARE WORKSTATION","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1519591","1519591","1519591","Use then remove from assortment","HP Z640 WS KIT","Movex IntegrationUser"
"DRIVERS 3.20","Yes","Software","7/3/2015","Neuro","RS08","LGK","NTPS GRAPHICS DRIVER","NTPS GRAPHICS DRIVER","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1519797","1519797","1519797","Released","DRIVERS 3.20","Movex IntegrationUser"
"SR/PERFEXION GUI FOR CS 10.2","Yes","Feature","7/3/2015","Neuro","RS08","LGK","LGK CS SOFTWARE GUI","CS LANGUAGE SERBIAN","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1520269","1520269","1520269","Released","SR/PERFEXION GUI FOR CS 10.2","Movex IntegrationUser"
"LGK SECURE KIT PFX S/N<132","Yes","Product","7/11/2015","Neuro","RS08","LGK","LGK TID/FID KIT","TID-FID KIT","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1046441","1046441","1046441","Released","LGK SECURE KIT PFX S/N<132_LGK BELOW 6132","Movex IntegrationUser"
"FCO KIT - FRAME ADAPTER","Yes","Part","9/4/2015","Neuro","RS08","LGK","LGK PPS FRAME ADAPTER","FRAME ADAPTER","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1521463","1521463","1521463","Use then remove from assortment","FCO KIT - FRAME ADAPTER","Movex IntegrationUser"
"LGP 10.2.1 SUPPLIER ITEMS","Yes","Software","10/10/2015","Neuro","RS08","LGK","NTPS SOFTWARE","NTPS SOFTWARE","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1521450","1521450","1521450","Released","LGP 10.2.1 SUPPLIER ITEMS","Movex IntegrationUser"
"FILM HOLDER TOOL","Yes","Product","10/10/2015","Neuro","RS08","LGK","LGK FILMHOLDER","FILM HOLDER","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1519803","1519803","1519803","Released","Film Holder Tool","Movex IntegrationUser"
"LGK ICON CONFIGURATION","Yes","Part","12/4/2015","Neuro","RS08","LGK","LGK ICON CONFIGURATION","ICON CONFIG","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1521620","1521620","1521620","Released","LGK ICON CONFIGURATION","Movex IntegrationUser"
"DFM 2.1","Yes","Software","12/4/2015","Neuro","RS08","LGK","NTPS DFM SOFTWARE","NTPS DFM SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1521622","1521622","1521622","Released","DFM 2.1","Movex IntegrationUser"
"FCO - CS SW 11.1","Yes","Software","12/4/2015","Neuro","RS08","LGK","LGK CS SOFTWARE","CONTROL SYSTEM SOFTWARE","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1522528","1522528","1522528","Released","FCO - CS SW 11.1","Movex IntegrationUser"
"FCO - DFM 2.1","Yes","Software","12/4/2015","Neuro","RS08","LGK","NTPS DFM SOFTWARE","NTPS DFM SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1522529","1522529","1522529","Released","FCO - DFM 2.1","Movex IntegrationUser"
"LANGUAGE RESOURCES LGP 11.0.2","Yes","Feature","12/4/2015","Neuro","RS08","LGK","NTPS LANGUAGE","NTPS LANGUAGE (MULTI)","RS01","100","DIV100","LGK Service","250","Leksell Gamma Plan","1","1523107","1523107","1523107","Use then remove from assortment","LANGUAGE RESOURCES LGP 11.0.2","Movex IntegrationUser"
"SEDAN SIDE-CUT. NEEDLE - SMALL","Yes","Product","1/31/2016","Neuro","SS01","LSS","LSS BIOPSY NEEDLE","BIOPSY NEEDLE","SS01","100","DIV100","Leksell Stereotactic Neurosurgery","100","Leksell Stereotactic System","1","1522153","1522153","1522153","Released","SEDAN SIDE CUTTING NEEDLE - SMALL","Movex IntegrationUser"
"SEDAN SIDE-CUT BIOPSY KIT 2","Yes","Product","1/31/2016","Neuro","SS01","LSS","LSS BIOPSY NEEDLE","BIOPSY NEEDLE","SS01","100","DIV100","Leksell Stereotactic Neurosurgery","100","Leksell Stereotactic System","1","1522155","1522155","1522155","Released","SEDAN SIDE CUTTING KIT - SMALL","Movex IntegrationUser"
"TILT ARM SERVO BOARD","Yes","Part","3/18/2016","Neuro","RS08","LGK","LGK GNT TILT ARM SERVO BOARD","TILT ARM SERVO BOARD","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1505713","1505713","1505713","Released","TILT ARM SERVO BOARD","Movex IntegrationUser"
"C-ARM SERVO BOARD","Yes","Part","3/18/2016","Neuro","RS08","LGK","LGK GNT C-ARM SERVO BOARD","C-ARM SERVO BOARD","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1505716","1505716","1505716","Released","C-ARM SERVO BOARD","Movex IntegrationUser"
"COMFORT BOARD PLUS","Yes","Part","3/18/2016","Neuro","RS08","LGK","LGK PPS COMFORT BOARD","COMFORT BOARD ICON ESPRIT","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1506668","1506668","1506668","Released","COMFORT BOARD PLUS","Movex IntegrationUser"
"LGP 11.0.3 ISO","Yes","Software","4/8/2016","Neuro","RS08","LGK","NTPS SOFTWARE","NTPS SOFTWARE","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1526098","1526098","1526098","Use then remove from assortment","LGP 11.0.3 ISO","Movex IntegrationUser"
"MRI FIDUCIAL BOX","Yes","Product","4/8/2016","Neuro","SS01","LSS","LSN VANTAGE MRI FIDUCIAL BOX","LEKSELL VANTAGE MRI FIDUCIAL BOX","SS01","100","DIV100","Leksell Stereotactic Neurosurgery","102","Leksell Vantage Stereotactic System","1","1054250","1054250","1054250","Released","MRI FIDUCIAL BOX","Movex IntegrationUser"
"LEKSELL VANTAGE HEADFRAME","Yes","Product","4/8/2016","Neuro","SS01","LSS","LSN VANTAGE HEAD FRAME","LEKSELL VANTAGE HEADFRAME","SS01","100","DIV100","Leksell Stereotactic Neurosurgery","102","Leksell Vantage Stereotactic System","1","1051800","1051800","1051800","Released","LEKSELL VANTAGE HEADFRAME","Movex IntegrationUser"
"LEKSELL VANTAGE ARC SYSTEM","Yes","Product","4/8/2016","Neuro","SS01","LSS","LSN VANTAGE ARC SYSTEM","LEKSELL VANTAGE ARC MDD","SS01","100","DIV100","Leksell Stereotactic Neurosurgery","102","Leksell Vantage Stereotactic System","1","1053958","1053958","1053958","Released","LEKSELL VANTAGE ARC SYSTEM","Movex IntegrationUser"
"LEKSELL VANTAGE OR ADAPTER","Yes","Product","4/8/2016","Neuro","SS01","LSS","LSN VANTAGE FRAME HOLDER","LEKSELL VANTAGE OR ADAPTER","SS01","100","DIV100","Leksell Stereotactic Neurosurgery","102","Leksell Vantage Stereotactic System","1","1054253","1054253","1054253","Use then remove from assortment","LEKSELL VANTAGE OR ADAPTER","Movex IntegrationUser"
"OFFICE UPS 1500VA 230V CPL","Yes","Part","4/15/2016","Neuro","RS08","LGK","LGK CS OFFICE UPS","OFFICE UPS","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1525524","1525524","1525524","Released","OFFICE UPS 1500VA 230V CPL","Movex IntegrationUser"
"OFFICE UPS 1500VA 120V CPL","Yes","Part","4/15/2016","Neuro","RS08","LGK","LGK CS OFFICE UPS","OFFICE UPS","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1525525","1525525","1525525","Released","OFFICE UPS 1500VA 120V CPL","Movex IntegrationUser"
"OFFICE UPS 1500VA 230V (SP)","Yes","Part","4/15/2016","Neuro","RS08","LGK","LGK CS OFFICE UPS","OFFICE UPS","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1525528","1525528","1525528","Released","OFFICE UPS 1500VA 230V (SPARE PART)","Movex IntegrationUser"
"OFFICE UPS 1500VA 120V (SP)","Yes","Part","4/15/2016","Neuro","RS08","LGK","LGK CS OFFICE UPS","OFFICE UPS","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1525529","1525529","1525529","Released","OFFICE UPS 1500VA 120V (SPARE PART)","Movex IntegrationUser"
"GS1 MATRIX ICON MANUFACT. SIGN","Yes","Product","9/23/2016","Neuro","RS08","LGK","LEKSELL GAMMA KNIFE ICON","LEKSELL GAMMA KNIFE ICON","RS01","100","DIV100","LGK Service","203","Leksell Gamma Knife model Perfexion","1","1528597","1528597","1528597","Released","GS1 MATRIX ICON MANUFACT. SIGN","Movex IntegrationUser"
