"Product Name","Installed Base Track","IP Type","Product: Created Date","Product Family","Product Group","Product Family Group","Product Service Group","Sibex Name","AARO Code","Business Area","Business Responsible","Product Group Description","Item Group","Item Group Description","Active (Product)","Product Code","Movex Part Number","Oracle CPQ Cloud Part Number","Status","Movex Full Description","Product: Created By"
"FRU TRCC SETUP ASSIST SERVER","Yes","Part","12/27/2019","MR Linac","ATSV","Unity","UNITY SETUP ASSIST PC","UNITY SETUP ASSIST PC","ATLA","200","DIV200","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","1550328","1550328","1550328","Released","FRU TRCC SETUP ASSIST SERVER","Movex IntegrationUser"
"FRU - TRCC DP PC","Yes","Part","12/27/2019","MR Linac","ATSV","Unity","UNITY DP PC","UNITY DP PC","ATLA","200","DIV200","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","1550318","1550318","1550318","Released","FRU - TRCC DATA PROCESSING PC","Movex IntegrationUser"
"FRU - TRCC MQ PC 1","Yes","Part","12/27/2019","MR Linac","ATSV","Unity","UNITY MQ PC","UNITY MQ PC","ATLA","200","DIV200","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","1550320","1550320","1550320","Released","FRU - TRCC MQ PC 1","Movex IntegrationUser"
"FRU EIM FOR COMPACT","Yes","Part","1/3/2020","Linac","BSRV","Oncology","COMPACT EIM CABINET","EIM FOR COMPACT","BLIN","200","DIV452","BMEI Service","COMPACT","COMPACT","1","1537077","1537077","1537077","Released","FRU EIM FOR COMPACT","Movex IntegrationUser"
"FRU EIM CABINET","Yes","Part","1/3/2020","Linac","EOS2","Oncology","PSS EIM","EIM CABINET","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1537078","1537078","1537078","Use then remove from assortment","FRU EIM CABINET","Movex IntegrationUser"
"ELECT.INTERFACE MODULE","Yes","Part","1/17/2020","Linac","EOS2","Oncology","PSS EIM","EIM","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1550821","1550821","1550821","Use then remove from assortment","ELECTRICAL INTERFACE MODULE ASSEMBLY","Movex IntegrationUser"
"MRT 30391, DWI PROTOCOL","Yes","Part","1/24/2020","MR Linac","ATSV","Unity","UNITY DWI PROTOCOL","DWI PROTOCOL","ATLA","200","DIV200","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","1549505","1549505","MRT 30391","Released","MRT 30391, DIFFUSION WEIGHTED IMAGING PROTOCOL NMRF 291","Movex IntegrationUser"
"MRT 30441, UNITY SYSTEM","Yes","Product","1/24/2020","MR Linac","ATSV","Unity","UNITY SYSTEM","UNITY SYSTEM","ATLA","200","DIV200","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","MRT 30441","MRT 30441","MRT 30441","Released","MRT 30441, UNITY SYSTEM","Movex IntegrationUser"
"IGUIDE®SOFTWARE 2.2.3","Yes","Software","1/31/2020","Linac","MFIX","PPS","iGUIDE Software","iGUIDE Software","MFIX","200","DIV200","MI Patient Fixation device","P10602","MI HexaPOD","1","P10603-111-223","P10603-111-223","P10603-111-223","Released","IGUIDE®SOFTWARE 2.2.3","Movex IntegrationUser"
"ASSEMBLY, X-RAY TUBE VAREX","Yes","Part","1/31/2020","Linac","EOS2","Oncology","XVI XRAY TUBE","XVI XRAY TUBE","SYNE","200","DIV200","EOS Service And Spares Parts","355","Synergy XVI","1","1548845","1548845","1548845","Released","ASSEMBLY, X-RAY TUBE VAREX","Movex IntegrationUser"
"S/W MASTERS, INT 4.0.5 LANGS","Yes","Software","2/7/2020","Linac","EOS2","Oncology","LINAC SOFTWARE LICENSE","Integrity4.0.5 LANGS","EOS5","200","DIV200","EOS Service And Spares Parts","315","RTD","1","1548935","1548935","1548935","Released","SOFTWARE MASTERS, INTEGRITY 4.0.5 LANGUAGES","Movex IntegrationUser"
"TCS-NSS, FRU","Yes","Part","2/7/2020","Linac","EOS2","Oncology","NSS","NETWORK SECURITY SOLUTION (NSS)","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1543403","1543403","1543403","Use then remove from assortment","TCS-NETWORK SECURITY SOLUTION (NSS), FRU","Movex IntegrationUser"
"SSI ASSY","Yes","Part","2/15/2020","MR Linac","ATSV","Unity","UNITY SLIP RINGS","UNITY SLIP RINGS","ATLA","200","DIV200","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","1549500","1549500","1549500","Use then remove from assortment","SIGNAL SLIP RING INTERFACE ASSEMBLY","Movex IntegrationUser"
"SHORT WAVEGUIDE ASSEMBLY","Yes","Part","3/13/2020","MR Linac","ATSV","Unity","UNITY WAVEGUIDE","UNITY WAVEGUIDE","ATLA","200","DIV452","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","1550640","1550640","1550640","Released","SHORT WAVEGUIDE ASSEMBLY - UNITY","Movex IntegrationUser"
"FRU - SHORT WAVEGUIDE ASSEMBLY","Yes","Part","3/13/2020","MR Linac","ATSV","Unity","UNITY WAVEGUIDE","UNITY WAVEGUIDE","ATLA","200","DIV452","MR Guided Radiation Therapy Service","401","ATLANTIC MRI LINAC","1","1550644","1550644","1550644","Released","FRU - SHORT WAVEGUIDE ASSEMBLY","Movex IntegrationUser"
"MQ PC MK2, FRU","Yes","Product","3/20/2020","Linac","EOS2","Oncology","LINAC CONTROL SYSTEM MODULE (MOSAIQ SEQ)","MOSAIQ SEQUENCER (MQ SEQ) TSCC MODULE","EOS5","200","DIV200","EOS Service And Spares Parts","301","SL & SLI Linac","1","1550879","1550879","1550879","Use then remove from assortment","MQ PC MK2, FRU","Movex IntegrationUser"
